prompt,model,model_slug,reference_columns,repeat,total_items,evaluated_items,error_runs,skipped_missing_prediction,skipped_no_reference,tp,fp,fn,precision,recall,micro_f1,position_sensitive_tp,position_sensitive_fp,position_sensitive_fn,position_sensitive_precision,position_sensitive_recall,position_sensitive_micro_f1,exact_best_matches,exact_best_match_rate,no_relation_best_matches
lasha,google/gemini-3.5-flash,google_gemini-3.5-flash,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,1,362,362,0,0,0,299,190,61,0.6114519427402862,0.8305555555555556,0.7043580683156655,234,255,112,0.4785276073619632,0.6763005780346821,0.5604790419161677,213,0.5883977900552486,54
lasha,google/gemini-3.5-flash,google_gemini-3.5-flash,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,2,362,362,0,0,0,300,190,59,0.6122448979591837,0.8356545961002786,0.7067137809187279,235,255,110,0.47959183673469385,0.6811594202898551,0.562874251497006,211,0.5828729281767956,53
lasha,google/gemini-3.5-flash,google_gemini-3.5-flash,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,3,362,362,0,0,0,303,192,57,0.6121212121212121,0.8416666666666667,0.7087719298245614,234,261,112,0.4727272727272727,0.6763005780346821,0.5564803804994055,213,0.5883977900552486,53
lasha,google/gemini-3.5-flash,google_gemini-3.5-flash,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,4,362,362,0,0,0,301,196,58,0.6056338028169014,0.8384401114206128,0.7032710280373832,233,264,112,0.4688128772635815,0.6753623188405797,0.5534441805225653,211,0.5828729281767956,52
lasha,google/gemini-3.5-flash,google_gemini-3.5-flash,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,5,362,362,0,0,0,303,186,58,0.6196319018404908,0.8393351800554016,0.7129411764705882,238,251,109,0.4867075664621677,0.6858789625360231,0.569377990430622,215,0.5939226519337016,53
lasha,google/gemma-3-4b-it,google_gemma-3-4b-it,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,1,362,354,8,8,0,245,515,92,0.3223684210526316,0.7270029673590505,0.44667274384685507,127,633,198,0.16710526315789473,0.39076923076923076,0.23410138248847925,99,0.2796610169491525,39
lasha,google/gemma-3-4b-it,google_gemma-3-4b-it,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,2,362,355,7,7,0,249,514,89,0.32634338138925295,0.7366863905325444,0.45231607629427795,131,632,195,0.17169069462647443,0.401840490797546,0.24058769513314968,103,0.29014084507042254,42
lasha,google/gemma-3-4b-it,google_gemma-3-4b-it,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,3,362,355,7,7,0,247,516,90,0.3237221494102228,0.7329376854599406,0.4490909090909091,128,635,197,0.16775884665792923,0.39384615384615385,0.23529411764705882,101,0.28450704225352114,42
lasha,google/gemma-3-4b-it,google_gemma-3-4b-it,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,4,362,355,7,7,0,249,516,90,0.3254901960784314,0.7345132743362832,0.45108695652173914,132,633,194,0.17254901960784313,0.4049079754601227,0.24197983501374887,99,0.27887323943661974,39
lasha,google/gemma-3-4b-it,google_gemma-3-4b-it,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,5,362,356,6,6,0,252,520,89,0.32642487046632124,0.7390029325513197,0.4528301886792453,132,640,197,0.17098445595854922,0.4012158054711246,0.23978201634877383,100,0.2808988764044944,40
lasha,openai/gpt-5.4,openai_gpt-5.4,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,1,362,362,0,0,0,280,144,66,0.660377358490566,0.8092485549132948,0.7272727272727273,221,203,116,0.5212264150943396,0.655786350148368,0.580814717477004,231,0.638121546961326,82
lasha,openai/gpt-5.4,openai_gpt-5.4,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,2,362,362,0,0,0,279,143,67,0.6611374407582938,0.8063583815028902,0.7265625,218,204,118,0.5165876777251185,0.6488095238095238,0.575197889182058,226,0.6243093922651933,79
lasha,openai/gpt-5.4,openai_gpt-5.4,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,3,362,362,0,0,0,279,135,65,0.6739130434782609,0.811046511627907,0.7361477572559367,219,195,116,0.5289855072463768,0.6537313432835821,0.5847797062750334,232,0.6408839779005525,82
lasha,openai/gpt-5.4,openai_gpt-5.4,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,4,362,362,0,0,0,283,142,63,0.6658823529411765,0.8179190751445087,0.7341115434500648,218,207,117,0.5129411764705882,0.6507462686567164,0.5736842105263158,232,0.6408839779005525,82
lasha,openai/gpt-5.4,openai_gpt-5.4,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,5,362,362,0,0,0,283,154,61,0.6475972540045767,0.8226744186046512,0.7247119078104993,215,222,118,0.4919908466819222,0.6456456456456456,0.5584415584415584,226,0.6243093922651933,81
lasha,openai/gpt-5.4-mini,openai_gpt-5.4-mini,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,1,362,362,0,0,0,270,321,76,0.45685279187817257,0.7803468208092486,0.576307363927428,181,410,152,0.3062605752961083,0.5435435435435435,0.3917748917748918,158,0.43646408839779005,52
lasha,openai/gpt-5.4-mini,openai_gpt-5.4-mini,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,2,362,362,0,0,0,289,331,69,0.4661290322580645,0.8072625698324022,0.591002044989775,196,424,140,0.3161290322580645,0.5833333333333334,0.4100418410041841,167,0.4613259668508287,50
lasha,openai/gpt-5.4-mini,openai_gpt-5.4-mini,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,3,362,362,0,0,0,276,315,73,0.467005076142132,0.7908309455587392,0.5872340425531914,183,408,150,0.3096446700507614,0.5495495495495496,0.3961038961038961,161,0.4447513812154696,52
lasha,openai/gpt-5.4-mini,openai_gpt-5.4-mini,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,4,362,362,0,0,0,266,328,79,0.4478114478114478,0.7710144927536232,0.5665601703940362,184,410,148,0.30976430976430974,0.5542168674698795,0.39740820734341253,166,0.4585635359116022,52
lasha,openai/gpt-5.4-mini,openai_gpt-5.4-mini,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,5,362,362,0,0,0,277,345,70,0.4453376205787781,0.7982708933717579,0.5717234262125903,191,431,141,0.3070739549839228,0.5753012048192772,0.40041928721174,161,0.4447513812154696,50
lasha,openai/gpt-oss-20b,openai_gpt-oss-20b,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,1,362,361,0,1,0,233,187,99,0.5547619047619048,0.7018072289156626,0.6196808510638298,168,252,155,0.4,0.5201238390092879,0.4522207267833109,190,0.5263157894736842,75
lasha,openai/gpt-oss-20b,openai_gpt-oss-20b,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,2,362,361,0,1,0,223,183,113,0.5492610837438424,0.6636904761904762,0.601078167115903,164,242,163,0.4039408866995074,0.5015290519877675,0.44747612551159616,185,0.5124653739612188,76
lasha,openai/gpt-oss-20b,openai_gpt-oss-20b,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,3,362,362,0,0,0,238,175,102,0.576271186440678,0.7,0.6321381142098274,167,246,163,0.4043583535108959,0.5060606060606061,0.44952893674293404,190,0.5248618784530387,76
lasha,openai/gpt-oss-20b,openai_gpt-oss-20b,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,4,362,361,0,1,0,223,162,110,0.5792207792207792,0.6696696696696697,0.6211699164345403,161,224,165,0.41818181818181815,0.4938650306748466,0.45288326300984527,186,0.5152354570637119,76
lasha,openai/gpt-oss-20b,openai_gpt-oss-20b,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,5,362,362,0,0,0,235,183,103,0.562200956937799,0.6952662721893491,0.6216931216931217,167,251,164,0.39952153110047844,0.5045317220543807,0.4459279038718291,189,0.5220994475138122,76
